DATE,STATION,LATITUDE,LONGITUDE,ENTRIES_DIFF,EXITS_DIFF
2020-04-11,1 AVE,40.730901,-73.981719,1008,2074
2020-04-11,103 ST,40.790582,-73.947473,1048,1457
2020-04-11,103 ST,40.796105,-73.961399,213,241
2020-04-11,103 ST,40.799354,-73.968329,608,627
2020-04-11,103 ST-CORONA,40.749858,-73.862672,1471,1344
2020-04-11,104 ST,40.695184,-73.844326,175,88
2020-04-11,110 ST,40.795066,-73.944297,1624,2564
2020-04-11,110 ST-CATHEDRL,40.804032,-73.966742,1062,1464
2020-04-11,110 ST-CPN,40.799110,-73.951807,349,921
2020-04-11,111 ST,40.697405,-73.836354,115,99
2020-04-11,111 ST,40.751760,-73.855183,845,577
2020-04-11,116 ST,40.798574,-73.941593,2440,3150
2020-04-11,116 ST,40.802098,-73.949625,1008,1376
2020-04-11,116 ST,40.805072,-73.954833,876,1270
2020-04-11,116 ST-COLUMBIA,40.808190,-73.964124,266,280
2020-04-11,121 ST,40.700536,-73.828382,160,150
2020-04-11,125 ST,40.804406,-73.937452,2783,5031
2020-04-11,125 ST,40.808076,-73.945906,950,1526
2020-04-11,125 ST,40.811056,-73.952386,4182,5882
2020-04-11,125 ST,40.815596,-73.958395,409,843
2020-04-11,135 ST,40.814459,-73.940992,1958,1586
2020-04-11,135 ST,40.817902,-73.947644,792,1227
2020-04-11,137 ST-CITY COL,40.821994,-73.953674,1588,2742
2020-04-11,138 ST-3 AVE,40.810512,-73.926165,602,461
2020-04-11,138 ST-GR CONC,40.813208,-73.929877,325,452
2020-04-11,14 ST,40.738007,-73.998381,1290,1316
2020-04-11,14 ST,40.740388,-74.002104,749,1005
2020-04-11,14 ST-6 AVE,40.737348,-73.996900,1304,3372
2020-04-11,14 ST-UNION SQ,40.734836,-73.990688,21588,29910
2020-04-11,145 ST,40.820402,-73.936315,34,78
2020-04-11,145 ST,40.824787,-73.944232,3472,4470
2020-04-11,145 ST,40.826426,-73.950412,1348,1782
2020-04-11,148 ST-LENOX,40.823877,-73.936443,5,84
2020-04-11,149 ST-3 AVE,40.816132,-73.917754,3500,2592
2020-04-11,149 ST-GR CONC,40.818429,-73.926927,2402,3544
2020-04-11,15 ST-PROSPECT,40.660376,-73.979509,348,320
2020-04-11,155 ST,40.829934,-73.938632,525,413
2020-04-11,155 ST,40.830551,-73.941486,193,231
2020-04-11,157 ST,40.833879,-73.944726,1590,1680
2020-04-11,161 ST-YANKEE,40.827888,-73.925736,11700,8574
2020-04-11,163 ST-AMSTERDM,40.835957,-73.939898,287,511
2020-04-11,167 ST,40.833773,-73.918430,1450,776
2020-04-11,167 ST,40.835535,-73.921380,1053,1321
2020-04-11,168 ST-BROADWAY,40.840778,-73.940091,4245,3648
2020-04-11,169 ST,40.710459,-73.793600,714,1090
2020-04-11,170 ST,40.839301,-73.913355,1306,1228
2020-04-11,170 ST,40.840048,-73.917775,784,986
2020-04-11,174 ST,40.837382,-73.887659,1070,1870
2020-04-11,174-175 ST,40.845892,-73.910136,978,850
2020-04-11,175 ST,40.847369,-73.939683,1198,1072
2020-04-11,176 ST,40.848635,-73.912497,697,686
2020-04-11,18 AVE,40.607958,-74.001782,320,125
2020-04-11,18 AVE,40.620728,-73.990388,239,215
2020-04-11,18 AVE,40.629881,-73.977149,428,476
2020-04-11,18 ST,40.741096,-73.997877,184,290
2020-04-11,181 ST,40.849495,-73.933632,1078,1544
2020-04-11,181 ST,40.851686,-73.937967,856,1230
2020-04-11,182-183 ST,40.856085,-73.900695,300,303
2020-04-11,183 ST,40.858389,-73.903828,778,603
2020-04-11,190 ST,40.859022,-73.934190,88,34
2020-04-11,191 ST,40.855176,-73.929384,118,163
2020-04-11,2 AVE,40.723291,-73.989873,990,2000
2020-04-11,20 AVE,40.604798,-73.998456,302,103
2020-04-11,20 AVE,40.617373,-73.985088,133,133
2020-04-11,207 ST,40.864653,-73.918719,572,545
2020-04-11,21 ST,40.754100,-73.942580,418,571
2020-04-11,215 ST,40.869359,-73.915329,128,80
